No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station
8089,2014,2,1,0,143,147,51,53,1600,6,1.8,1012.8,-3.1,0,WSW,0.9,Aotizhongxin
8090,2014,2,1,1,144,153,65,60,1600,4,1.6,1012.9,-2,0,SW,0.2,Aotizhongxin
8091,2014,2,1,2,138,156,63,57,1500,6,1.6,1012.7,-1.3,0,NE,1.1,Aotizhongxin
8092,2014,2,1,3,138,140,66,64,1700,1,1.8,1012.1,-1.5,0,NE,1.1,Aotizhongxin
8093,2014,2,1,4,145,150,63,65,1900,1,1.8,1011.8,-1.5,0,NE,1.2,Aotizhongxin
8094,2014,2,1,5,153,152,70,62,1900,1,1.6,1011.6,-1.3,0,NE,1.3,Aotizhongxin
8095,2014,2,1,6,148,141,81,64,1900,1,1.7,1011.5,-0.7,0,ENE,1.1,Aotizhongxin
8096,2014,2,1,7,153,160,91,71,1800,1,2.1,1011.8,-0.2,0,ENE,0.7,Aotizhongxin
8097,2014,2,1,8,150,158,81,67,1800,1,2.5,1012.1,0.4,0,ENE,1,Aotizhongxin
8098,2014,2,1,9,156,163,75,64,1800,1,2.7,1012.3,0.3,0,NNW,0.2,Aotizhongxin
8099,2014,2,1,10,158,171,78,64,1900,1,3.8,1012.1,0.7,0,ENE,0,Aotizhongxin
8100,2014,2,1,11,170,184,82,72,2200,1,4.5,1011.3,1.3,0,WNW,1,Aotizhongxin
8101,2014,2,1,12,134,140,74,57,1700,5,4.8,1010,1.3,0,SW,0.8,Aotizhongxin
8102,2014,2,1,13,102,78,55,50,1600,6,4.9,1009,1.4,0,SSW,1.4,Aotizhongxin
8103,2014,2,1,14,99,82,51,54,1600,2,4.7,1008.8,1.5,0,SSW,1.7,Aotizhongxin
8104,2014,2,1,15,103,93,50,58,1700,1,4.6,1008.7,1.3,0,SSW,1.7,Aotizhongxin
8105,2014,2,1,16,102,94,44,56,1700,2,4,1007.9,1,0,SSW,1.3,Aotizhongxin
8106,2014,2,1,17,98,91,40,58,1700,1,3.6,1007.6,0.8,0,WSW,2.1,Aotizhongxin
8107,2014,2,1,18,101,88,36,60,1800,1,3.4,1007.5,0.8,0,SW,1.3,Aotizhongxin
8108,2014,2,1,19,107,91,30,57,1900,1,3.2,1007.6,0.9,0,WSW,1.9,Aotizhongxin
8109,2014,2,1,20,113,104,28,57,1900,1,2.8,1007.3,1,0,SSW,2.2,Aotizhongxin
8110,2014,2,1,21,112,105,28,57,1900,1,2.5,1006.8,1,0,SW,2.3,Aotizhongxin
8111,2014,2,1,22,121,115,27,57,2000,1,2.4,1006.7,0.9,0,SW,2.1,Aotizhongxin
8112,2014,2,1,23,128,121,28,56,2000,1,2.3,1006.3,0.8,0,W,1.6,Aotizhongxin
8113,2014,2,2,0,127,118,33,53,2000,1,2.2,1005.7,0.7,0,WSW,1.5,Aotizhongxin
8114,2014,2,2,1,123,121,31,51,2000,1,2.2,1005.9,0.6,0,WSW,1.7,Aotizhongxin
8115,2014,2,2,2,130,128,26,44,2100,1,2.1,1005.7,0.6,0,SW,1.8,Aotizhongxin
8116,2014,2,2,3,137,135,24,40,1800,1,2,1005.4,0.4,0,WSW,1.3,Aotizhongxin
8117,2014,2,2,4,146,144,18,NA,1800,1,1.9,1005.2,0.3,0,NNW,0.8,Aotizhongxin
8118,2014,2,2,5,151,147,26,50,2400,1,1.5,1006.3,0.2,0,NE,1.6,Aotizhongxin
8119,2014,2,2,6,151,154,24,55,2600,1,1.2,1006.2,0.2,0,NE,2.5,Aotizhongxin
8120,2014,2,2,7,143,147,26,57,2900,1,1.1,1007.4,-0.1,0,NNE,1.8,Aotizhongxin
8121,2014,2,2,8,136,138,29,59,2500,1,3.8,1007.7,-3.9,0,NNE,3.5,Aotizhongxin
8122,2014,2,2,9,121,67,36,54,2100,6,7.6,1008.7,-11.7,0,N,4.5,Aotizhongxin
8123,2014,2,2,10,35,73,15,17,600,59,8.8,1009.3,-12.4,0,NNE,4.1,Aotizhongxin
8124,2014,2,2,11,16,179,8,9,400,71,8.9,1008.9,-12.9,0,NNE,4.1,Aotizhongxin
8125,2014,2,2,12,13,112,6,9,400,73,9.7,1008.6,-12.9,0,NE,3.2,Aotizhongxin
8126,2014,2,2,13,11,65,7,9,300,73,9.1,1007.9,-14.7,0,NE,4.5,Aotizhongxin
8127,2014,2,2,14,16,78,8,8,300,74,9.2,1008.6,-15.4,0,NE,4.2,Aotizhongxin
8128,2014,2,2,15,21,106,14,9,400,75,8.4,1009.8,-17.6,0,NE,5.3,Aotizhongxin
8129,2014,2,2,16,13,77,9,10,300,70,6,1010.7,-20.4,0,NE,4,Aotizhongxin
8130,2014,2,2,17,13,55,7,9,300,68,4.7,1012.3,-21.5,0,NE,3,Aotizhongxin
8131,2014,2,2,18,3,39,7,12,300,63,4,1013.4,-22.9,0,NE,3.9,Aotizhongxin
8132,2014,2,2,19,12,22,11,12,400,64,3.2,1014.1,-23.6,0,NE,3.8,Aotizhongxin
8133,2014,2,2,20,8,21,9,11,400,64,2.5,1014.6,-24.1,0,NE,2.6,Aotizhongxin
8134,2014,2,2,21,8,9,11,12,300,63,2.2,1015.3,-24.4,0,NE,2.7,Aotizhongxin
8135,2014,2,2,22,3,13,8,13,300,61,2,1016,-24.5,0,NE,2.9,Aotizhongxin
8136,2014,2,2,23,3,6,10,13,300,61,1.9,1016.6,-24.6,0,NNE,3.1,Aotizhongxin
8137,2014,2,3,0,3,6,8,10,300,66,1.7,1017.5,-20.2,0,N,5.7,Aotizhongxin
8138,2014,2,3,1,3,9,9,9,400,67,1,1018.3,-20.1,0,NNW,5.3,Aotizhongxin
8139,2014,2,3,2,10,46,7,8,400,69,-0.2,1019.6,-14.9,0,NNW,4.9,Aotizhongxin
8140,2014,2,3,3,6,52,8,5,300,74,-1.2,1020.3,-14.7,0,NNE,4.2,Aotizhongxin
8141,2014,2,3,4,6,36,6,5,300,74,-2.4,1021,-16.9,0,NE,2.4,Aotizhongxin
8142,2014,2,3,5,3,18,5,5,300,71,-3.4,1021.5,-24.4,0,E,1.1,Aotizhongxin
8143,2014,2,3,6,3,6,4,3,300,68,-3.5,1022,-27.2,0,NE,3.1,Aotizhongxin
8144,2014,2,3,7,3,6,3,3,300,69,-3.2,1022.7,-27.8,0,NNW,4.9,Aotizhongxin
8145,2014,2,3,8,4,6,9,12,400,59,-2.4,1023.2,-27.2,0,NNW,3.4,Aotizhongxin
8146,2014,2,3,9,5,6,7,11,400,62,-1.2,1023.2,-27.1,0,NW,5.5,Aotizhongxin
8147,2014,2,3,10,3,6,13,7,400,65,-0.5,1022.4,-26.5,0,NNW,3.6,Aotizhongxin
8148,2014,2,3,11,3,7,9,6,400,67,0.6,1022.4,-26.6,0,NW,4.6,Aotizhongxin
8149,2014,2,3,12,7,12,9,5,400,70,1.1,1021,-27.2,0,NNW,5.6,Aotizhongxin
8150,2014,2,3,13,4,32,6,5,400,72,1.7,1020.1,-26.8,0,NW,4.2,Aotizhongxin
8151,2014,2,3,14,8,61,5,4,300,75,1.5,1020.3,-26.9,0,NNW,4.1,Aotizhongxin
8152,2014,2,3,15,9,75,5,5,300,74,1,1020.4,-27.3,0,N,5.2,Aotizhongxin
8153,2014,2,3,16,10,66,3,5,300,73,0.5,1020.6,-26.7,0,NW,2.6,Aotizhongxin
8154,2014,2,3,17,4,45,3,6,300,71,-0.4,1021.5,-27.4,0,NW,4.5,Aotizhongxin
8155,2014,2,3,18,5,47,3,8,300,68,-0.8,1022,-27.7,0,N,3.8,Aotizhongxin
8156,2014,2,3,19,3,48,5,11,400,64,-1.3,1022.2,-27.1,0,N,0.9,Aotizhongxin
8157,2014,2,3,20,4,39,6,11,400,63,-2.3,1022.6,-27.1,0,NE,1.4,Aotizhongxin
8158,2014,2,3,21,10,38,7,12,400,60,-2.6,1022.6,-27.3,0,NNW,2.6,Aotizhongxin
8159,2014,2,3,22,8,29,6,16,400,56,-1.9,1022.8,-27.6,0,N,2.9,Aotizhongxin
8160,2014,2,3,23,9,27,3,16,400,57,-2.1,1023.1,-27.8,0,N,3.8,Aotizhongxin
8161,2014,2,4,0,3,20,2,7,400,66,-2.5,1023.8,-27.2,0,N,2.5,Aotizhongxin
8162,2014,2,4,1,3,14,4,5,400,67,-3.5,1024.2,-27.2,0,WNW,1.6,Aotizhongxin
8163,2014,2,4,2,5,10,4,5,400,68,-3.6,1024.1,-28.1,0,N,2.7,Aotizhongxin
8164,2014,2,4,3,3,13,3,6,400,66,-4.4,1024.2,-28,0,NNW,2.1,Aotizhongxin
8165,2014,2,4,4,4,12,5,8,400,64,-5.1,1024,-27.8,0,NNW,1,Aotizhongxin
8166,2014,2,4,5,3,17,9,6,400,65,-5.7,1023.8,-27.6,0,NNE,1.4,Aotizhongxin
8167,2014,2,4,6,6,13,13,11,400,58,-6.2,1024.7,-27.3,0,ENE,2.3,Aotizhongxin
8168,2014,2,4,7,5,24,18,15,500,52,-6.6,1025.8,-24.8,0,ENE,1.2,Aotizhongxin
8169,2014,2,4,8,11,24,24,20,600,48,-4.2,1025.9,-27.1,0,NNE,2.5,Aotizhongxin
8170,2014,2,4,9,11,22,24,21,600,47,-2.2,1025.9,-27,0,NE,2.8,Aotizhongxin
8171,2014,2,4,10,10,10,18,17,500,55,-0.7,1025.3,-26.7,0,N,2.4,Aotizhongxin
8172,2014,2,4,11,5,9,9,11,400,62,0.3,1024.3,-26.8,0,NNE,1.4,Aotizhongxin
8173,2014,2,4,12,7,9,6,8,400,66,0.4,1023.2,-25.8,0,SE,1.9,Aotizhongxin
8174,2014,2,4,13,5,6,5,8,400,68,0.3,1022.1,-26.8,0,NE,2.3,Aotizhongxin
8175,2014,2,4,14,8,6,6,10,400,68,0.7,1021.8,-25.6,0,W,1.5,Aotizhongxin
8176,2014,2,4,15,3,6,8,10,400,67,0.6,1021.6,-25.6,0,NW,1.5,Aotizhongxin
8177,2014,2,4,16,12,13,21,24,500,53,-0.5,1020.9,-24.8,0,WSW,2.4,Aotizhongxin
8178,2014,2,4,17,14,12,21,35,600,42,-1.5,1021.2,-22.8,0,WSW,1.7,Aotizhongxin
8179,2014,2,4,18,29,40,19,50,800,28,-1.7,1022.1,-23,0,SW,1.4,Aotizhongxin
8180,2014,2,4,19,46,69,31,54,1000,27,-1.7,1022.3,-23,0,WSW,1.8,Aotizhongxin
8181,2014,2,4,20,59,81,35,48,1000,35,-2,1022.7,-21.5,0,WSW,1,Aotizhongxin
8182,2014,2,4,21,87,114,45,43,1000,36,-2.6,1023.2,-21.4,0,SW,1.7,Aotizhongxin
8183,2014,2,4,22,158,186,64,49,1000,26,-3.6,1023.3,-17.2,0,WNW,0.6,Aotizhongxin
8184,2014,2,4,23,98,143,55,49,1100,24,-4.4,1023.4,-17.3,0,WSW,0.2,Aotizhongxin
8185,2014,2,5,0,66,90,38,39,1100,32,-4,1023,-20.7,0,NE,1.1,Aotizhongxin
8186,2014,2,5,1,63,75,34,43,1100,25,-3.9,1023,-19.8,0,ENE,0.8,Aotizhongxin
8187,2014,2,5,2,58,68,34,38,1200,22,-4.1,1022.7,-21.3,0,NE,1,Aotizhongxin
8188,2014,2,5,3,85,129,39,49,1800,9,-5.1,1022.9,-21.2,0,NNE,0.8,Aotizhongxin
8189,2014,2,5,4,137,166,29,NA,2400,1,-5.6,1022.9,-21.3,0,NE,1.4,Aotizhongxin
